Stkcd,Trddt,Clsprc,Dnshrtrd,Adjprcwd,Adjprcnd,Trdsta
600309,2012/3/20,14.01,15636777,334.17095,292.843043,1
600309,2012/3/21,14.1,12980875,336.317658,294.724262,1
600309,2012/3/22,14.22,8771255,339.179936,297.232554,1
600309,2012/3/23,13.96,9934321,332.978334,291.797922,1
600309,2012/3/26,13.92,6157558,332.024241,290.961825,1
600309,2012/3/27,13.4,18293485,319.621037,280.092561,1
600309,2012/3/28,12.98,15314765,309.603064,271.31354,1
600309,2012/3/29,12.99,13067961,309.841587,271.522564,1
600309,2012/3/30,13.07,7129285,311.749772,273.194758,1
600309,2012/4/5,13.4,12240031,319.621036,280.09256,1
600309,2012/4/9,13.35,7271676,318.42842,279.047439,1
600309,2012/4/10,13.68,9269151,326.299684,285.945241,1
600309,2012/4/11,13.77,10938229,328.446392,287.82646,1
600309,2012/4/12,13.97,9155527,333.216855,292.006946,1
600309,2012/4/13,13.99,10407196,333.693901,292.424995,1
600309,2012/4/16,13.86,6598025,330.5931,289.707679,1
600309,2012/4/17,13.88,8352098,331.070146,290.125728,1
600309,2012/4/18,14.49,18555990,345.620059,302.87621,1
600309,2012/4/19,14.51,7596701,346.097105,303.294259,1
600309,2012/4/20,14.46,9203505,344.904489,302.249137,1
600309,2012/4/23,14.37,11265086,342.757781,300.367918,1
600309,2012/4/24,13.49,11122416,336.078803,281.973687,1
600309,2012/4/25,13.75,6407489,342.55623,287.408317,1
600309,2012/4/26,13.58,11418299,338.320989,283.854905,1
600309,2012/4/27,13.62,5929387,339.317516,284.691002,1
600309,2012/5/2,14.01,11501371,349.033656,292.842947,1
600309,2012/5/3,14.06,7077736,350.279315,293.888068,1
600309,2012/5/4,14.73,32538535,366.971146,307.892691,1
600309,2012/5/7,15.18,30937184,378.182077,317.298781,1
600309,2012/5/8,15.06,16992173,375.192495,314.79049,1
600309,2012/5/9,14.83,12746444,369.462464,309.982933,1
600309,2012/5/10,14.79,6408061,368.465937,309.146836,1
600309,2012/5/11,14.55,6764613,362.486774,304.130254,1
600309,2012/5/14,14.2,11342458,353.767161,296.814406,1
600309,2012/5/15,14.29,9920049,356.009347,298.695624,1
